user_id,abstract_words,count,ranking
000e984f80e531b773d94252ebd846f3,online,16,1
000e984f80e531b773d94252ebd846f3,reviews,16,2
000e984f80e531b773d94252ebd846f3,opinion,14,3
000e984f80e531b773d94252ebd846f3,systems,11,4
000e984f80e531b773d94252ebd846f3,opinions,10,5
000e984f80e531b773d94252ebd846f3,spam,9,6
000e984f80e531b773d94252ebd846f3,text,9,7
000e984f80e531b773d94252ebd846f3,recommendation,9,8
000e984f80e531b773d94252ebd846f3,recommender,9,9
000e984f80e531b773d94252ebd846f3,users,9,10
000ea48a81566915be7eaeccd3f2f0dc,virtual,19,1
000ea48a81566915be7eaeccd3f2f0dc,environment,14,2
000ea48a81566915be7eaeccd3f2f0dc,users,13,3
000ea48a81566915be7eaeccd3f2f0dc,immersive,10,4
000ea48a81566915be7eaeccd3f2f0dc,user,9,5
000ea48a81566915be7eaeccd3f2f0dc,interaction,8,6
000ea48a81566915be7eaeccd3f2f0dc,spatial,7,7
000ea48a81566915be7eaeccd3f2f0dc,based,7,8
000ea48a81566915be7eaeccd3f2f0dc,learning,6,9
000ea48a81566915be7eaeccd3f2f0dc,complex,6,10
0019c5f6eb3731d3f896d518d6c5ab18,media,14,1
0019c5f6eb3731d3f896d518d6c5ab18,research,9,2
0019c5f6eb3731d3f896d518d6c5ab18,article,8,3
0019c5f6eb3731d3f896d518d6c5ab18,theory,7,4
0019c5f6eb3731d3f896d518d6c5ab18,learning,7,5
0019c5f6eb3731d3f896d518d6c5ab18,personal,7,6
0019c5f6eb3731d3f896d518d6c5ab18,core,6,7
0019c5f6eb3731d3f896d518d6c5ab18,competencies,6,8
0019c5f6eb3731d3f896d518d6c5ab18,games,5,9
0019c5f6eb3731d3f896d518d6c5ab18,education,5,10
001a28e625cbfa51cafef45d44991cc2,information,22,1
001a28e625cbfa51cafef45d44991cc2,discourse,18,2
001a28e625cbfa51cafef45d44991cc2,book,15,3
001a28e625cbfa51cafef45d44991cc2,analysis,14,4
001a28e625cbfa51cafef45d44991cc2,business,12,5
001a28e625cbfa51cafef45d44991cc2,theory,11,6
001a28e625cbfa51cafef45d44991cc2,knowledge,9,7
001a28e625cbfa51cafef45d44991cc2,economic,8,8
001a28e625cbfa51cafef45d44991cc2,research,8,9
001a28e625cbfa51cafef45d44991cc2,social,8,10
0022b6caa537da5fc47d2e51689b50f1,evolution,6,1
0022b6caa537da5fc47d2e51689b50f1,theory,6,2
0022b6caa537da5fc47d2e51689b50f1,virulence,6,3
0022b6caa537da5fc47d2e51689b50f1,mobile,5,4
0022b6caa537da5fc47d2e51689b50f1,dynamics,4,5
0022b6caa537da5fc47d2e51689b50f1,evolutionary,4,6
0022b6caa537da5fc47d2e51689b50f1,phone,4,7
0022b6caa537da5fc47d2e51689b50f1,approach,3,8
0022b6caa537da5fc47d2e51689b50f1,regions,2,9
0022b6caa537da5fc47d2e51689b50f1,microscopy,2,10
0038ccf6e16121e7c720e41bf89cbf91,potentials,11,1
0038ccf6e16121e7c720e41bf89cbf91,organic,7,2
0038ccf6e16121e7c720e41bf89cbf91,growth,7,3
0038ccf6e16121e7c720e41bf89cbf91,calcite,6,4
0038ccf6e16121e7c720e41bf89cbf91,mineral,6,5
0038ccf6e16121e7c720e41bf89cbf91,potential,6,6
0038ccf6e16121e7c720e41bf89cbf91,method,6,7
0038ccf6e16121e7c720e41bf89cbf91,aragonite,6,8
0038ccf6e16121e7c720e41bf89cbf91,set,6,9
0038ccf6e16121e7c720e41bf89cbf91,based,5,10
0042bfbafc6646f476e77a4ab5cab63e,fuel,17,1
0042bfbafc6646f476e77a4ab5cab63e,car,12,2
0042bfbafc6646f476e77a4ab5cab63e,consumption,12,3
0042bfbafc6646f476e77a4ab5cab63e,hybrid,10,4
0042bfbafc6646f476e77a4ab5cab63e,composite,9,5
0042bfbafc6646f476e77a4ab5cab63e,cars,8,6
0042bfbafc6646f476e77a4ab5cab63e,parking,7,7
0042bfbafc6646f476e77a4ab5cab63e,neural,7,8
0042bfbafc6646f476e77a4ab5cab63e,transport,7,9
0042bfbafc6646f476e77a4ab5cab63e,network,7,10
005ee7e87531c9fcd9eb404b99b6d1e1,analysis,116,1
005ee7e87531c9fcd9eb404b99b6d1e1,abstract,79,2
005ee7e87531c9fcd9eb404b99b6d1e1,language,75,3
005ee7e87531c9fcd9eb404b99b6d1e1,program,56,4
005ee7e87531c9fcd9eb404b99b6d1e1,flow,54,5
005ee7e87531c9fcd9eb404b99b6d1e1,programs,53,6
005ee7e87531c9fcd9eb404b99b6d1e1,semantics,47,7
005ee7e87531c9fcd9eb404b99b6d1e1,type,45,8
005ee7e87531c9fcd9eb404b99b6d1e1,context,41,9
005ee7e87531c9fcd9eb404b99b6d1e1,languages,40,10
008c29a32127b7e7d4f99ab5d076d21e,iron,70,1
008c29a32127b7e7d4f99ab5d076d21e,cells,70,2
008c29a32127b7e7d4f99ab5d076d21e,malaria,64,3
008c29a32127b7e7d4f99ab5d076d21e,disease,47,4
008c29a32127b7e7d4f99ab5d076d21e,expression,44,5
008c29a32127b7e7d4f99ab5d076d21e,patients,43,6
008c29a32127b7e7d4f99ab5d076d21e,brain,40,7
008c29a32127b7e7d4f99ab5d076d21e,human,38,8
008c29a32127b7e7d4f99ab5d076d21e,results,34,9
008c29a32127b7e7d4f99ab5d076d21e,cell,32,10
00a3738a72435a17ed38559ff61efe4c,dna,33,1
00a3738a72435a17ed38559ff61efe4c,repair,26,2
00a3738a72435a17ed38559ff61efe4c,damage,26,3
00a3738a72435a17ed38559ff61efe4c,cells,14,4
00a3738a72435a17ed38559ff61efe4c,cell,14,5
00a3738a72435a17ed38559ff61efe4c,response,13,6
00a3738a72435a17ed38559ff61efe4c,gene,9,7
00a3738a72435a17ed38559ff61efe4c,recombination,8,8
00a3738a72435a17ed38559ff61efe4c,melphalan,7,9
00a3738a72435a17ed38559ff61efe4c,homologous,7,10
00ac13c6ce3355f0f78f45142cf0fcb9,cytokines,8,1
00ac13c6ce3355f0f78f45142cf0fcb9,cells,5,2
00ac13c6ce3355f0f78f45142cf0fcb9,hematopoietic,4,3
00ac13c6ce3355f0f78f45142cf0fcb9,multiple,3,4
00ac13c6ce3355f0f78f45142cf0fcb9,cell,3,5
00ac13c6ce3355f0f78f45142cf0fcb9,production,3,6
00ac13c6ce3355f0f78f45142cf0fcb9,stimulating,2,7
00ac13c6ce3355f0f78f45142cf0fcb9,proliferation,2,8
00ac13c6ce3355f0f78f45142cf0fcb9,granulocyte,2,9
00ac13c6ce3355f0f78f45142cf0fcb9,responses,2,10
00b30d01baf3766a0f2ce6068ed71f07,virtual,120,1
00b30d01baf3766a0f2ce6068ed71f07,vr,75,2
00b30d01baf3766a0f2ce6068ed71f07,reality,66,3
00b30d01baf3766a0f2ce6068ed71f07,environment,57,4
00b30d01baf3766a0f2ce6068ed71f07,rehabilitation,39,5
00b30d01baf3766a0f2ce6068ed71f07,environments,37,6
00b30d01baf3766a0f2ce6068ed71f07,system,34,7
00b30d01baf3766a0f2ce6068ed71f07,based,30,8
00b30d01baf3766a0f2ce6068ed71f07,training,24,9
00b30d01baf3766a0f2ce6068ed71f07,real,23,10
00bf7b9b9b7fde3d4f37e09e5137293b,tumour,8,1
00bf7b9b9b7fde3d4f37e09e5137293b,cells,6,2
00bf7b9b9b7fde3d4f37e09e5137293b,brain,5,3
00bf7b9b9b7fde3d4f37e09e5137293b,human,4,4
00bf7b9b9b7fde3d4f37e09e5137293b,cell,4,5
00bf7b9b9b7fde3d4f37e09e5137293b,stem,3,6
00bf7b9b9b7fde3d4f37e09e5137293b,cscs,3,7
00bf7b9b9b7fde3d4f37e09e5137293b,tumours,3,8
00bf7b9b9b7fde3d4f37e09e5137293b,original,2,9
00bf7b9b9b7fde3d4f37e09e5137293b,injection,2,10
00c43adf659ae9f6dd669c99ff725e3a,virtual,3,1
