user_id,abstract_words,count,ranking
00279d51836488e25b4ee1ffee81c440,culture,3,1
00279d51836488e25b4ee1ffee81c440,model,3,2
00279d51836488e25b4ee1ffee81c440,material,3,3
00279d51836488e25b4ee1ffee81c440,everyday,2,4
00279d51836488e25b4ee1ffee81c440,suggest,2,5
00279d51836488e25b4ee1ffee81c440,ritual,2,6
00279d51836488e25b4ee1ffee81c440,understanding,2,7
00279d51836488e25b4ee1ffee81c440,twentieth,1,8
00279d51836488e25b4ee1ffee81c440,contexts,1,9
00279d51836488e25b4ee1ffee81c440,life,1,10
00355a4db634da0aa1dee71b2633498d,quantum,27,1
00355a4db634da0aa1dee71b2633498d,states,10,2
00355a4db634da0aa1dee71b2633498d,control,9,3
00355a4db634da0aa1dee71b2633498d,field,8,4
00355a4db634da0aa1dee71b2633498d,cavity,8,5
00355a4db634da0aa1dee71b2633498d,systems,8,6
00355a4db634da0aa1dee71b2633498d,state,8,7
00355a4db634da0aa1dee71b2633498d,optimal,8,8
00355a4db634da0aa1dee71b2633498d,fidelity,7,9
00355a4db634da0aa1dee71b2633498d,oscillator,7,10
0035bb1d5427017d211db97d64d91552,records,10,1
0035bb1d5427017d211db97d64d91552,archival,9,2
0035bb1d5427017d211db97d64d91552,concept,6,3
0035bb1d5427017d211db97d64d91552,collections,4,4
0035bb1d5427017d211db97d64d91552,special,3,5
0035bb1d5427017d211db97d64d91552,life,3,6
0035bb1d5427017d211db97d64d91552,electronic,3,7
0035bb1d5427017d211db97d64d91552,materials,3,8
0035bb1d5427017d211db97d64d91552,paper,3,9
0035bb1d5427017d211db97d64d91552,cycle,3,10
0048b8dd298ed411fef985182d23d8f8,sharing,25,1
0048b8dd298ed411fef985182d23d8f8,digital,18,2
0048b8dd298ed411fef985182d23d8f8,system,15,3
0048b8dd298ed411fef985182d23d8f8,mobile,14,4
0048b8dd298ed411fef985182d23d8f8,users,11,5
0048b8dd298ed411fef985182d23d8f8,study,11,6
0048b8dd298ed411fef985182d23d8f8,images,10,7
0048b8dd298ed411fef985182d23d8f8,information,10,8
0048b8dd298ed411fef985182d23d8f8,media,9,9
0048b8dd298ed411fef985182d23d8f8,photo,9,10
00491b242f3e24bdd27b36145bcc13c4,software,19,1
00491b242f3e24bdd27b36145bcc13c4,code,18,2
00491b242f3e24bdd27b36145bcc13c4,developers,13,3
00491b242f3e24bdd27b36145bcc13c4,design,12,4
00491b242f3e24bdd27b36145bcc13c4,programmers,12,5
00491b242f3e24bdd27b36145bcc13c4,tasks,11,6
00491b242f3e24bdd27b36145bcc13c4,program,10,7
00491b242f3e24bdd27b36145bcc13c4,study,8,8
00491b242f3e24bdd27b36145bcc13c4,source,8,9
00491b242f3e24bdd27b36145bcc13c4,debugging,7,10
0050137fcda98cb563af615715ec7638,protein,63,1
0050137fcda98cb563af615715ec7638,proteins,49,2
0050137fcda98cb563af615715ec7638,disordered,36,3
0050137fcda98cb563af615715ec7638,regions,35,4
0050137fcda98cb563af615715ec7638,binding,33,5
0050137fcda98cb563af615715ec7638,structure,30,6
0050137fcda98cb563af615715ec7638,folding,21,7
0050137fcda98cb563af615715ec7638,conformational,21,8
0050137fcda98cb563af615715ec7638,disorder,19,9
0050137fcda98cb563af615715ec7638,ordered,18,10
0057850421dcbf988019461aaf8622f7,list,6,1
0057850421dcbf988019461aaf8622f7,correct,3,2
0057850421dcbf988019461aaf8622f7,extracted,3,3
0057850421dcbf988019461aaf8622f7,linked,3,4
0057850421dcbf988019461aaf8622f7,complete,3,5
0057850421dcbf988019461aaf8622f7,reference,3,6
0057850421dcbf988019461aaf8622f7,ocr,3,7
0057850421dcbf988019461aaf8622f7,errors,3,8
0057850421dcbf988019461aaf8622f7,references,3,9
0057850421dcbf988019461aaf8622f7,full,3,10
00b23e597d3977ff0c212c49e24e7023,transactions,21,1
00b23e597d3977ff0c212c49e24e7023,transactional,19,2
00b23e597d3977ff0c212c49e24e7023,system,16,3
00b23e597d3977ff0c212c49e24e7023,memory,12,4
00b23e597d3977ff0c212c49e24e7023,atomicity,10,5
00b23e597d3977ff0c212c49e24e7023,concurrent,9,6
00b23e597d3977ff0c212c49e24e7023,techniques,8,7
00b23e597d3977ff0c212c49e24e7023,systems,8,8
00b23e597d3977ff0c212c49e24e7023,implementation,7,9
00b23e597d3977ff0c212c49e24e7023,code,7,10
00b7f17ffc0a8c1d9d76fd1981e9e456,data,20,1
00b7f17ffc0a8c1d9d76fd1981e9e456,genotype,17,2
00b7f17ffc0a8c1d9d76fd1981e9e456,cancer,12,3
00b7f17ffc0a8c1d9d76fd1981e9e456,breast,11,4
00b7f17ffc0a8c1d9d76fd1981e9e456,women,11,5
00b7f17ffc0a8c1d9d76fd1981e9e456,gene,11,6
00b7f17ffc0a8c1d9d76fd1981e9e456,mouse,10,7
00b7f17ffc0a8c1d9d76fd1981e9e456,sequence,8,8
00b7f17ffc0a8c1d9d76fd1981e9e456,mgd,8,9
00b7f17ffc0a8c1d9d76fd1981e9e456,tamoxifen,8,10
00d0326768508fdf16d30337193e1583,ffl,7,1
00d0326768508fdf16d30337193e1583,types,6,2
00d0326768508fdf16d30337193e1583,transcription,4,3
00d0326768508fdf16d30337193e1583,gene,3,4
00d0326768508fdf16d30337193e1583,network,3,5
00d0326768508fdf16d30337193e1583,sign,2,6
00d0326768508fdf16d30337193e1583,circuit,2,7
00d0326768508fdf16d30337193e1583,ffls,2,8
00d0326768508fdf16d30337193e1583,sensitive,2,9
00d0326768508fdf16d30337193e1583,direction,2,10
00d8b58080bdd685ef9fe9d95ac039c6,resource,9,1
